,Metal,Subcategory,Country,Percentage,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,Category,URL,Rank Order,Color,Color Code
105,Vanadium,Total,Other,41,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
106,Zirconium,Zirconium ores and concentrates,South Africa,54,South Africa,ZA,ZAF,710.0,ISO 3166-2:ZA,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Strategic Partner,https://www.state.gov/u-s-relations-with-South Africa,3.0,#AED6F1,#AED6F1
107,Zirconium,Zirconium ores and concentrates,Senegal,25,Senegal,SN,SEN,686.0,ISO 3166-2:SN,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Partner,https://www.state.gov/u-s-relations-with-Senegal,6.0,#ABEBC6,#ABEBC6
108,Zirconium,Zirconium ores and concentrates,Australia,19,Australia,AU,AUS,36.0,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9.0,53.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Australia /,2.0,#5DADE2,#5DADE2
109,Zirconium,Zirconium ores and concentrates,Russia,2,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
110,Zirconium,Zirconium ores and concentrates,Other,1,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
111,Zirconium,"Zirconium, unwrought, including powder",China,89,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
112,Zirconium,"Zirconium, unwrought, including powder",Germany,8,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Germany,1.0,#3498DB,#3498DB
113,Zirconium,"Zirconium, unwrought, including powder",Other,3,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
114,Zirconium,"Zirconium, wrought",France,64,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-France,1.0,#3498DB,#3498DB
115,Zirconium,"Zirconium, wrought",Germany,18,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Germany,1.0,#3498DB,#3498DB
116,Zirconium,"Zirconium, wrought",Belgium,5,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Belgium,1.0,#3498DB,#3498DB
117,Zirconium,"Zirconium, wrought",Other,13,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
118,Niobium,Niobium and tantalum ores and concentrates,Austria,36,Austria,AT,AUT,40.0,ISO 3166-2:AT,Europe,Western Europe,,150.0,155.0,,Strategic Partner,https://www.state.gov/u-s-relations-with-Austria ,3.0,#AED6F1,#AED6F1
119,Niobium,Niobium and tantalum ores and concentrates,Rwanda,34,Rwanda,RW,RWA,646.0,ISO 3166-2:RW,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Limited Partner,https://www.state.gov/u-s-relations-with-Rwanda/,5.0,#58D68D,#58D68D
120,Niobium,Niobium and tantalum ores and concentrates,Congo (Kinshasa),7,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
121,Niobium,Niobium and tantalum ores and concentrates,Mozambique,6,Mozambique,MZ,MOZ,508.0,ISO 3166-2:MZ,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Limited Partner,https://www.state.gov/u-s-relations-with-Mozambique/,5.0,#58D68D,#58D68D
122,Niobium,Niobium and tantalum ores and concentrates,Other,17,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
123,Niobium,Niobium oxide,Brazil,60,Brazil,BR,BRA,76.0,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Brazil,2.0,#5DADE2,#5DADE2
124,Niobium,Niobium oxide,Thailand,15,Thailand,TH,THA,764.0,ISO 3166-2:TH,Asia,South-eastern Asia,,142.0,35.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Thailand,2.0,#5DADE2,#5DADE2
125,Niobium,Niobium oxide,Russia,11,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
